grid,n,beta_bd,c,a_cl,energy,converged,Bind,Sep,Inside,n_core,delta_min,delta_max,delta_mean,n_deep,deep_mass_frac,u_min,u_max,u_std
10x10,100,50.0,0.3,3.9,2.2949887973085294,True,0.865732303966148,0.9307327229462817,0.9906894855477538,29,1,4,2.276,20,0.6968765740737869,0.0,1.0,0.44266615099483986
10x10,100,50.0,0.4,2.0,4.450701629247253,True,0.7519491965624763,0.9071250871343302,0.9188135895165366,32,1,4,2.281,22,0.6846260373589022,0.008539317530404695,0.9624747677880624,0.43768067847649483
10x10,100,50.0,0.4,3.0,2.5278936333599624,True,0.8199319675147211,0.942817722375821,0.9486611077119749,38,1,4,2.421,28,0.7410643106261547,0.0,0.9771470317688075,0.45923575128985095
10x10,100,50.0,0.4,3.5,2.1273814063035084,True,0.8521696715070046,0.9357475956389952,0.9442351933115739,37,1,5,2.432,27,0.732692874591363,0.0,0.981424605007715,0.4572163713002289
10x10,100,50.0,0.4,3.9,2.0009463769720806,True,0.870085080763929,0.9222408995268327,0.9587439340101289,36,1,6,2.583,26,0.7240526627901458,0.0,0.990748946254877,0.45927519406283146
10x10,100,50.0,0.5,2.0,4.7220077596225805,True,0.7503129999122482,0.9286824644118383,0.9180729081148798,45,1,6,2.867,34,0.7538784271679486,0.0,0.9771526852332446,0.4470889738864872
10x10,100,50.0,0.5,3.0,3.147080535917773,True,0.8177058150324232,0.9289176403835275,0.9565926952063658,46,1,6,2.978,35,0.7614075317511119,0.0,1.0,0.46246041287013284
10x10,100,50.0,0.5,3.5,2.5928827117393176,True,0.847061289449492,0.9315886233185028,0.9616300943748759,46,1,6,2.978,35,0.7613319223472267,0.0,1.0,0.46711170162773014
10x10,100,50.0,0.5,3.9,2.7243139802012624,True,0.8560225291711635,0.9246211047117735,0.9682301622146768,47,1,4,1.957,29,0.6227736560298102,0.0,1.0,0.4716412278989424
10x10,100,100.0,0.3,2.0,4.564071889432649,True,0.7287709259904568,0.9443854704600624,0.9899257583194625,30,1,3,2.000,20,0.6723471795396398,0.0,0.9990202081085242,0.44382861782275185
10x10,100,100.0,0.3,3.0,2.852492814636013,True,0.8084006954142604,0.9322727288641273,0.9898359024901912,29,1,4,2.276,20,0.6933572309840823,0.0,1.0,0.4435184872444499
10x10,100,100.0,0.3,3.5,2.361859014552966,True,0.8386449292986952,0.9281703770807863,0.9913856734917031,30,1,4,2.167,20,0.6745952948240534,0.0,1.0,0.4469363332454179
10x10,100,100.0,0.3,3.9,2.013139422635191,True,0.8605430674298078,0.9286682987941144,0.9926680573261707,30,1,4,2.167,20,0.6742992456318522,0.0,1.0,0.4481354387511357
10x10,100,100.0,0.4,2.0,4.182664144134086,True,0.7471655297233704,0.9339429770538275,0.8961581439032641,35,1,5,2.314,25,0.7121734621860095,0.0,0.9480160143762899,0.4455733358363485
10x10,100,100.0,0.4,3.0,2.83962946977611,True,0.8131116678656052,0.9073979870860197,0.9808185376038251,38,1,6,2.579,27,0.7189472606181095,0.0,1.0,0.4600274982915383
10x10,100,100.0,0.4,3.5,2.2087751076117503,True,0.8406579805972076,0.9179254656361223,0.9747486042006387,37,1,5,2.405,26,0.7068797103715226,0.0,1.0,0.4631433441680888
10x10,100,100.0,0.4,3.9,1.5721332918872202,True,0.8657357761126394,0.9419409399179511,0.9813033397792856,39,1,4,2.462,29,0.7484858247490459,0.0,1.0,0.4700316382060953
10x10,100,100.0,0.5,2.0,4.700389413695577,True,0.7500200846050503,0.9203654481961512,0.9255056618755627,46,1,6,2.978,35,0.7562115754164769,0.0,0.985536998865969,0.4453884960461353
10x10,100,100.0,0.5,3.0,3.313490642697842,True,0.8026329981651378,0.922973044061836,0.9573836283657924,47,1,4,1.957,29,0.6198806631050742,0.0,1.0,0.46835901329125096
10x10,100,100.0,0.5,3.5,2.972012953442579,True,0.8260020118459044,0.9185399516629797,0.9845562824327726,47,1,4,1.809,27,0.5798804952848621,0.0,1.0,0.4737351648047265
10x10,100,100.0,0.5,3.9,2.9205625409126017,True,0.8464642061783659,0.9041162535448466,0.9597147784301596,48,1,4,1.750,26,0.547164365996375,0.0,1.0,0.4660117932675256
15x15,225,5.0,0.3,2.0,8.756178315020781,True,0.7696378624446728,0.8755358605052671,0.8000046975151451,0,nan,nan,,0,0.0,0.0,0.8936177900561553,0.37657332888534795
15x15,225,5.0,0.3,3.0,5.151525809739656,True,0.833005243522164,0.9158965201572974,0.9191558935266432,48,1,2,1.354,17,0.3523632052831904,0.0,0.9700428554282575,0.41007508243597396
15x15,225,5.0,0.3,3.5,3.9132899259149863,True,0.8626428618433604,0.9301883868409083,0.9230126278509467,56,1,4,2.107,37,0.6535737060596116,0.0,0.9746462619276519,0.4178901561259647
15x15,225,5.0,0.3,3.9,3.3044418977410044,True,0.8816448914436055,0.9331740160226926,0.9727108938139746,58,1,8,3.345,46,0.7865616962930649,0.0,1.0,0.42731621270282033
15x15,225,5.0,0.4,2.0,7.340049972668424,False,0.8052738875323837,0.8408261392924099,0.6348148767942984,0,nan,nan,,0,0.0,0.007790589910395892,0.7899639475462081,0.3506389913135212
15x15,225,5.0,0.4,3.0,4.412930096137507,False,0.8487517429504532,0.9153390178273105,0.8067454484596447,0,nan,nan,,0,0.0,0.0,0.8941691337734019,0.41181151751097206
15x15,225,5.0,0.4,3.5,3.3688551685791994,True,0.8739942009204715,0.9304876046469798,0.8558605172342851,47,1,2,1.064,3,0.06396242245892972,0.0,0.9227297938816064,0.4285774599650934
15x15,225,5.0,0.4,3.9,3.0273199431570132,False,0.8928408989197961,0.9218372135674487,0.8996302281940696,81,1,10,4.099,67,0.8265142240453598,0.0,0.9510193557965889,0.4353634684097984
15x15,225,5.0,0.5,2.0,7.770018801341749,True,0.7969606350874462,0.9123668027982937,0.7115473944870951,0,nan,nan,,0,0.0,0.0,0.8633449463704174,0.3786450477440227
15x15,225,5.0,0.5,3.0,5.320613809755374,True,0.8456002584479692,0.9291644318509039,0.8669774915843735,86,1,3,1.570,42,0.485543309055155,0.0,0.9449875082582468,0.4272118462505618
15x15,225,5.0,0.5,3.5,4.266936249371204,True,0.8709749737943768,0.9379089439209402,0.905221975181935,102,1,10,4.147,85,0.8289075994110444,0.0,0.9673691085747067,0.44251050002740133
15x15,225,5.0,0.5,3.9,3.6412779837476665,True,0.8904286850532744,0.9419165317151443,0.9326598750620588,102,1,10,4.147,85,0.8295360589836624,0.0,0.9808402328503943,0.4499393261205587
15x15,225,10.0,0.3,2.0,9.03204718041587,True,0.7572216958033307,0.9159559146143804,0.868846028942363,15,1,1,1.000,0,0.0,0.0,0.9176180611692225,0.401103510859671
15x15,225,10.0,0.3,3.0,5.389074058328844,True,0.827983923047277,0.9274118122665795,0.9412766426244747,58,1,8,3.345,46,0.7873252689352002,0.0,0.9765599820563506,0.4214704747398744
15x15,225,10.0,0.3,3.5,4.254260991898317,False,0.8589693393447481,0.9295018596458584,0.9672248587257953,59,1,7,3.373,47,0.7924292311228989,0.0,1.0,0.4259763419153379
15x15,225,10.0,0.3,3.9,3.567615002350136,True,0.8801954977894811,0.9327982216427908,0.9660487409532634,58,1,7,3.362,46,0.7885187093475887,0.0,1.0,0.429849078942136
15x15,225,10.0,0.4,2.0,8.329390775782114,False,0.7843863539595946,0.882052508451267,0.7553273207821675,0,nan,nan,,0,0.0,0.010500712955977903,0.8587638356247491,0.38974632517853075
15x15,225,10.0,0.4,3.0,4.889057636921258,True,0.8373659671806591,0.9365257120609621,0.876928242928981,82,1,6,3.256,67,0.8161919613129264,0.0,0.9324031179381154,0.43744343965571475
15x15,225,10.0,0.4,3.5,4.097375652863883,False,0.8665434606527519,0.9268529745268185,0.9221157485741309,80,1,9,3.975,66,0.8253825255429186,0.0,0.9605225576769956,0.44319183259396466
15x15,225,10.0,0.4,3.9,3.4515358278225463,False,0.8869049863974955,0.9307647134049792,0.94029225887687,79,1,9,3.987,65,0.8229051143275776,0.0,0.9712695853318118,0.4485662217942986
15x15,225,10.0,0.5,2.0,9.344252058979933,True,0.7773175602240479,0.9176333484814968,0.7999443548599605,12,1,1,1.000,0,0.0,0.0,0.9103100937189162,0.41139860591571237
