beta_ratio,beta,seed,energy,Bind,Sep,Inside,u_std,u_min,u_max,converged
1.1,0.4307026566026452,3,12.069932904572036,0.8933648481893044,0.5374079676340309,0.9021380176093929,0.38823951329586903,0.0,0.9033947121689893,False
1.1,0.4307026566026452,4,12.069928401529399,0.8933624405998047,0.5373977872466729,0.9021784534181054,0.38824757569353724,0.0,0.9034276422714309,False
1.2,0.4698574435665219,0,12.125036917811595,0.8930089839519276,0.5366724287537883,0.9043893421934953,0.38921847692539213,0.0,0.9055629073104848,False
1.2,0.4698574435665219,1,13.406748866455684,0.9052490969338032,0.5557992414190718,0.856161897862923,0.3530689763885039,0.0,0.856161897862923,False
1.2,0.4698574435665219,2,13.406748866457914,0.9052490969337852,0.5557992414190964,0.8561618978628868,0.3530689763885097,0.0,0.8561618978628868,False
1.2,0.4698574435665219,3,12.125047841388355,0.8930084010054204,0.5366695024683537,0.9044013879644589,0.3892206043577316,0.0,0.9055721746997235,False
1.2,0.4698574435665219,4,12.125027893771376,0.8930047474169338,0.5366567180158025,0.9044489326863959,0.389231807235477,0.0,0.9056127037928797,False
1.5,0.5873218044581525,0,12.289110873251195,0.892246860385863,0.5351750526189325,0.9078727178485215,0.3913143671924342,0.0,0.90938324137033,False
1.5,0.5873218044581525,1,12.285997434363399,0.8918240365079544,0.534025645772045,0.912254798050819,0.39249975352880223,0.0,0.9131471333386435,False
1.5,0.5873218044581525,2,12.286038138425276,0.8918350663443121,0.5340803333195137,0.9120882801070485,0.3924600763570524,0.0,0.9129949359562625,False
1.5,0.5873218044581525,3,13.636995372916997,0.9040141859298472,0.5540616952837757,0.8630245572533077,0.3565817227282435,0.0,0.8630245572533077,False
1.5,0.5873218044581525,4,13.6369953729169,0.904014185929848,0.5540616952837749,0.8630245572533083,0.35658172272824307,0.0,0.8630245572533083,False
2.0,0.7830957392775366,0,12.542331664406213,0.8900036826631987,0.5311547682278378,0.9208573488463524,0.3971280680719681,0.0,0.9217263386026069,False
2.0,0.7830957392775366,1,14.004762333212597,0.9019690911815924,0.5512975186515208,0.8738305758585674,0.3622338777769919,0.0,0.8738305758585674,False
2.0,0.7830957392775366,2,12.541923308794686,0.8899345697239106,0.530948843484244,0.9215156533190109,0.39733066656054267,0.0,0.9223299381886089,False
